H1000001BIN FILE20150219142800R04000000606
D1000002360041              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000003360138              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000004360218              16A00000000DICCDAF10000000000DINNERS CLUB IN030000
D1000005360219              16A00000000DICCDAF10000000000DINNERS CLUB IN030000
D1000006360303              16A00000000DICCDAF10000000000DINNERS        030000
D1000007360304              16A00000000DICCDAF10000000000DINNERS        030000
D1000008360305              16A00000000DICCDAF10000000000DINNERS        030000
D1000009360306              16A00000000DICCDAF10000000000DINNERS        030000
D1000010360307              16A00000000DICCDAF10000000000DINNERS        030000
D1000011360308              16A00000000DICCDAF10000000000DINNERS        030000
D1000012360309              16A00000000DICCDAF10000000000DINNERS        030000
D1000013360310              16A00000000DICCDAF10000000000DINNERS        030000
D1000014360311              16A00000000DICCDAF10000000000DINNERS        030000
D1000015360312              16A00000000DICCDAF10000000000DINNERS        030000
D1000016360715              16A00000000DICCDAF10000000000DINNERS CLUB   030000
D1000017360716              16A00000000DICCDAF10000000000DINNERS CLUB   030000
D1000018360717              16A00000000DICCDAF10000000000DINNERS CLUB   030000
D1000019360718              16A00000000DICCDAF10000000000DINNERS CLUB   030000
D1000020360719              16A00000000DICCDAF10000000000DINNERS CLUB   030000
D1000021360752              16A00000000DICCDAF10000000000DINNERS CLUB   030000
D1000022360753              16A00000000DICCDAF10000000000DINNERS CLUB   030000
D1000023360857              16A00000000DICCDAF10000000000DIN C INT MILES030000
D1000024360858              16A00000000DICCDAF10000000000DIN C SPH MILES030000
D1000025360859              16A00000000DICCDAF10000000000DIN C CO MILES 030000
D1000026360860              16A00000000DICCDAF10000000000DIN C CO MILES 030000
D1000027360888              16A00000000DICCDAF10000000000DIN ONE PSP INT030000
D1000028361329              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000029361349              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000030361868              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000031362062              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000032362620              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000033362621              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
D1000034362622              16A00000000DICCDAF10000000000DINNERS CLUB NC030000
